answer,gold
204,204
44,113
359,371
16,385
110,110
104,104
721,721
25,025
809,809
116,116
104,104
294,294
540,540
287,197
880,480
73,073
468,468
601,601
23,023
321,321
211,211
9,315
236,236
45,045
33,033
80,080
55,055
699,699
